destination,destination_type,from_location,state,region,trip_type,transport,season,num_days,budget,accommodation_cost,food_cost,entry_fee,travel_time,rating,total_cost,feasible
Simlipal National Park,Wildlife,Lucknow,Odisha,East,Couple,Train,Autumn,3,27843,3400,935,300,9.0,4.5,13305,1
Long Island Andaman,Beach,Ahmedabad,Andaman & Nicobar,South,Solo,Train,Autumn,3,4815,2000,600,0,15.0,4.3,7800,0
Goa,Beach,Mumbai,Goa,South,Couple,Train,Summer,7,70000,4250,1360,0,5.0,4.5,39270,1
Yuksom,Adventure,Ahmedabad,Sikkim,Northeast,Senior,Bike,Autumn,9,12267,2080,585,0,13.0,4.4,23985,0
Elante Mall Area,City,Kolkata,Chandigarh,North,Family,Car,Monsoon,2,14541,6250,1750,0,5.0,4.0,16000,0
Udaipur,Heritage,Hyderabad,Rajasthan,North,Family,Bus,Winter,7,85631,5500,1500,250,8.0,4.6,49250,1
Rann of Kutch,Desert,Chennai,Gujarat,West,Couple,Car,Monsoon,6,34253,3400,1020,100,8.0,4.7,26620,1
Thanjavur,Heritage,Lucknow,Tamil Nadu,South,Senior,Flight,Monsoon,5,6135,1950,585,250,8.0,4.4,12925,0
Tso Moriri,Nature,Kolkata,Ladakh,North,Senior,Train,Monsoon,9,38348,2600,715,0,24.0,4.7,29835,1
Chettinad,Heritage,Mumbai,Tamil Nadu,South,Senior,Bus,Winter,3,5273,2600,780,100,7.0,4.4,10240,0
Ramappa Temple,Heritage,Ahmedabad,Telangana,South,Family,Flight,Spring,8,24584,3500,1000,200,4.0,4.5,36200,0
Vanganga Lake Garden,Nature,Pune,Dadra & Nagar Haveli,West,Couple,Bus,Summer,8,31464,2720,765,50,4.0,4.1,27930,1
Lunglei,Heritage,Ahmedabad,Mizoram,Northeast,Family,Train,Monsoon,4,26197,3250,1000,0,25.0,4.0,17000,1
Sanchi,Heritage,Mumbai,Madhya Pradesh,Central,Friends,Flight,Spring,8,36945,2800,800,250,8.0,4.4,29050,1
Andaman Islands,Island,Mumbai,Andaman & Nicobar,East,Family,Car,Monsoon,2,54956,10000,2250,500,3.0,4.7,25000,1
Badami,Heritage,Jaipur,Karnataka,South,Senior,Bus,Spring,5,8902,1560,520,200,7.0,4.3,10600,0
Long Island Andaman,Beach,Bangalore,Andaman & Nicobar,South,Senior,Train,Spring,6,43415,2600,780,0,15.0,4.3,20280,1
Cooch Behar,Heritage,Chennai,West Bengal,East,Family,Bus,Monsoon,9,69277,3500,1000,50,7.0,4.2,40550,1
Lakshadweep,Island,Delhi,Lakshadweep,South,Solo,Car,Autumn,10,118619,5000,1000,500,2.0,4.8,60500,1
Kesaria,Heritage,Ahmedabad,Bihar,East,Friends,Bike,Winter,9,32317,2000,600,50,11.0,4.1,23450,1
Naida Caves,Nature,Pune,Daman & Diu,West,Friends,Car,Winter,7,28017,4000,1100,0,5.0,4.3,35700,0
Ghoghla Beach,Beach,Chennai,Daman & Diu,West,Solo,Train,Autumn,5,7278,2000,550,0,5.0,4.2,12750,0
Ooty,Hill Station,Delhi,Tamil Nadu,South,Solo,Flight,Summer,9,12475,1800,500,80,7.0,4.4,20780,0
Kamakhya Temple,Spiritual,Lucknow,Assam,Northeast,Senior,Train,Summer,2,3417,1950,585,0,14.0,4.6,5070,0
Kanyakumari,Spiritual,Lucknow,Tamil Nadu,South,Solo,Flight,Monsoon,10,8409,1500,450,100,10.0,4.4,19600,0
Simlipal National Park,Wildlife,Kolkata,Odisha,East,Family,Car,Autumn,3,17614,5000,1375,300,9.0,4.5,19425,0
Bitra Island,Nature,Chennai,Lakshadweep,South,Couple,Bus,Spring,2,13145,2550,850,0,20.0,4.2,6800,1
Paradise Beach Pondicherry,Beach,Ahmedabad,Puducherry,South,Couple,Bike,Winter,5,30854,3400,1020,150,3.0,4.4,22250,1
Sundarbans,Wildlife,Delhi,West Bengal,East,Couple,Bus,Summer,6,44577,4250,1105,500,5.0,4.5,32630,1
Dzukou Valley,Nature,Chennai,Nagaland,Northeast,Senior,Train,Summer,2,2903,1820,520,100,22.0,4.8,4780,0
Chilika Lake,Nature,Kolkata,Odisha,East,Couple,Bike,Autumn,7,42239,3060,850,200,9.0,4.5,27570,1
Ramappa Temple,Heritage,Jaipur,Telangana,South,Senior,Car,Monsoon,4,17993,1820,520,200,4.0,4.5,9560,1
Pasighat,Adventure,Chennai,Arunachal Pradesh,Northeast,Couple,Car,Summer,6,42518,2550,765,0,20.0,4.3,19890,1
Vantawng Falls,Nature,Kolkata,Mizoram,Northeast,Senior,Train,Autumn,5,9140,1690,520,50,25.0,4.5,11100,0
Tura,Nature,Kolkata,Meghalaya,Northeast,Couple,Car,Autumn,7,13390,2380,680,0,18.0,4.1,21420,0
Along,Adventure,Bangalore,Arunachal Pradesh,Northeast,Couple,Flight,Winter,9,60312,2380,680,0,22.0,4.1,27540,1
Kavaratti,Beach,Bangalore,Lakshadweep,South,Senior,Flight,Monsoon,6,58002,4550,1040,0,20.0,4.1,33540,1
Patan,Heritage,Pune,Gujarat,West,Senior,Car,Winter,8,15080,1690,455,50,6.0,4.4,17210,0
Ahmedabad,Heritage,Bangalore,Gujarat,West,Family,Bike,Autumn,9,39510,4500,1375,100,7.0,4.3,52975,0
Faridabad,Nature,Pune,Haryana,North,Couple,Bus,Summer,4,22078,2550,765,50,1.0,3.9,13310,1
Chikmagalur,Nature,Pune,Karnataka,South,Senior,Train,Winter,7,14322,2600,715,50,6.0,4.4,23255,0
Munnar,Nature,Delhi,Kerala,South,Senior,Car,Summer,8,38340,3250,780,100,6.0,4.5,32340,1
Serenity Beach,Beach,Kolkata,Puducherry,South,Couple,Bus,Winter,4,26692,3400,1020,0,3.0,4.3,17680,1
Kinnaur,Adventure,Lucknow,Himachal Pradesh,North,Solo,Bike,Autumn,5,10522,1800,500,0,16.0,4.5,11500,0
Bandhavgarh,Wildlife,Hyderabad,Madhya Pradesh,Central,Couple,Train,Summer,8,48473,5950,1360,600,11.0,4.7,59080,0
Konark,Heritage,Delhi,Odisha,East,Senior,Flight,Autumn,9,26795,1560,520,500,10.0,4.6,19220,1
Long Island Andaman,Beach,Pune,Andaman & Nicobar,South,Couple,Flight,Summer,2,9966,3400,1020,0,15.0,4.3,8840,1
Munger,Heritage,Pune,Bihar,East,Family,Flight,Monsoon,2,8504,3000,875,50,12.0,4.0,7800,1
Ravangla,Nature,Lucknow,Sikkim,Northeast,Couple,Train,Spring,8,59841,2890,765,50,12.0,4.4,29290,1
Ukhrul,Hill Station,Ahmedabad,Manipur,Northeast,Solo,Bus,Monsoon,2,6207,1300,400,0,22.0,4.2,3400,1
Serenity Beach,Beach,Ahmedabad,Puducherry,South,Friends,Flight,Spring,4,10298,4000,1200,0,3.0,4.3,20800,0
Cotigao Wildlife Sanctuary,Wildlife,Lucknow,Goa,West,Solo,Flight,Spring,7,23338,2000,600,200,5.0,4.2,18400,1
Dirang,Hill Station,Kolkata,Arunachal Pradesh,Northeast,Friends,Car,Winter,10,67242,2800,800,0,18.0,4.3,36000,1
Chandni Chowk,Heritage,Lucknow,Delhi,North,Senior,Bus,Spring,10,15391,2600,780,0,5.0,4.3,33800,0
Hornbill Festival Kisama,Heritage,Jaipur,Nagaland,Northeast,Couple,Train,Monsoon,10,28636,2550,765,200,22.0,4.7,33350,0
Dongargarh,Spiritual,Kolkata,Chhattisgarh,Central,Family,Car,Summer,2,14065,3000,875,0,7.0,4.2,7750,1
Wokha,Nature,Chennai,Nagaland,Northeast,Friends,Bike,Autumn,3,22087,2600,800,0,22.0,4.1,10200,1
Pelling,Hill Station,Mumbai,Sikkim,Northeast,Solo,Flight,Spring,3,4166,1800,520,50,17.0,4.5,7010,0
Qutub Minar,Heritage,Hyderabad,Delhi,North,Friends,Train,Monsoon,9,117616,5000,1400,600,5.0,4.6,58200,1
Lachung,Nature,Hyderabad,Sikkim,Northeast,Senior,Train,Monsoon,9,21876,2600,715,200,18.0,4.6,30035,0
Bitra Island,Nature,Pune,Lakshadweep,South,Solo,Bus,Autumn,2,1874,1500,500,0,20.0,4.2,4000,0
Gwalior,Heritage,Bangalore,Madhya Pradesh,Central,Senior,Car,Autumn,6,17234,2080,585,250,8.0,4.3,16240,1
Loktak Lake,Nature,Delhi,Manipur,Northeast,Friends,Bus,Autumn,8,37435,2800,800,100,21.0,4.4,28900,1
Tirupati,Spiritual,Ahmedabad,Andhra Pradesh,South,Couple,Flight,Spring,8,37775,2550,680,300,6.0,4.5,26140,1
Satmaliya Deer Sanctuary,Wildlife,Delhi,Dadra & Nagar Haveli,West,Couple,Flight,Winter,4,7786,2720,765,100,4.0,4.1,14040,0
Gir National Park,Wildlife,Jaipur,Gujarat,West,Couple,Train,Autumn,9,45261,4250,1020,600,7.0,4.6,48030,0
Fort Kochi,Heritage,Kolkata,Kerala,South,Senior,Car,Winter,9,40750,3250,910,50,5.0,4.5,37490,1
Hisar,Heritage,Delhi,Haryana,North,Couple,Train,Winter,8,20375,2210,680,50,3.0,3.9,23170,0
Keibul Lamjao,Wildlife,Pune,Manipur,Northeast,Friends,Flight,Monsoon,9,58228,2800,800,100,21.0,4.4,32500,1
Rann of Kutch,Desert,Ahmedabad,Gujarat,West,Friends,Train,Summer,6,26422,4000,1200,100,8.0,4.7,31300,0
Chikmagalur,Nature,Chennai,Karnataka,South,Friends,Car,Autumn,6,52730,4000,1100,50,6.0,4.4,30650,1
Konark,Heritage,Lucknow,Odisha,East,Friends,Train,Winter,3,17051,2400,800,500,10.0,4.6,10100,1
Long Island Andaman,Beach,Hyderabad,Andaman & Nicobar,South,Couple,Bike,Spring,2,6630,3400,1020,0,15.0,4.3,8840,0
Satmaliya Deer Sanctuary,Wildlife,Lucknow,Dadra & Nagar Haveli,West,Friends,Car,Monsoon,10,52570,3200,900,100,4.0,4.1,41100,1
Lotus Temple,Spiritual,Ahmedabad,Delhi,North,Couple,Car,Summer,9,67189,3400,1020,0,5.0,4.5,39780,1
Dharamshala,Spiritual,Jaipur,Himachal Pradesh,North,Friends,Car,Spring,7,60575,3600,1100,0,12.0,4.5,32900,1
Cherrapunjee,Nature,Ahmedabad,Meghalaya,Northeast,Friends,Bike,Spring,5,28479,3200,960,50,17.0,4.6,20850,1
Dandeli,Adventure,Lucknow,Karnataka,South,Friends,Flight,Monsoon,6,49197,4000,1100,200,8.0,4.4,30800,1
Khajuraho,Heritage,Delhi,Madhya Pradesh,Central,Solo,Train,Summer,8,39658,1800,500,500,10.0,4.6,18900,1
Rajgir,Spiritual,Bangalore,Bihar,East,Solo,Bus,Autumn,8,20240,1100,380,50,11.0,4.2,11890,1
Dirang,Hill Station,Kolkata,Arunachal Pradesh,Northeast,Solo,Bike,Monsoon,2,1904,1400,400,0,18.0,4.3,3600,0
Dwarka,Spiritual,Ahmedabad,Gujarat,West,Couple,Bus,Spring,7,36007,2040,680,0,9.0,4.4,19040,1
Dandeli,Adventure,Hyderabad,Karnataka,South,Senior,Train,Summer,8,50430,2600,715,200,8.0,4.4,26720,1
Palak Dil,Nature,Chennai,Mizoram,Northeast,Senior,Train,Spring,6,9468,1690,520,50,26.0,4.3,13310,0
Madurai,Spiritual,Bangalore,Tamil Nadu,South,Senior,Flight,Spring,9,10689,2080,624,0,8.0,4.5,24336,0
Puri,Spiritual,Chennai,Odisha,East,Solo,Flight,Monsoon,4,15039,1500,450,0,9.0,4.4,7800,1
Kolhapur,Heritage,Bangalore,Maharashtra,West,Friends,Bike,Autumn,3,11361,3200,1000,50,6.0,4.2,12650,0
Phawngpui Blue Mountain,Hill Station,Kolkata,Mizoram,Northeast,Couple,Bus,Monsoon,2,2628,2380,680,100,26.0,4.5,6220,0
Ujjain,Spiritual,Delhi,Madhya Pradesh,Central,Couple,Bike,Spring,6,20455,2380,680,0,9.0,4.5,18360,1
Ukhrul,Hill Station,Pune,Manipur,Northeast,Solo,Train,Autumn,3,9823,1300,400,0,22.0,4.2,5100,1
Bekal,Heritage,Hyderabad,Kerala,South,Senior,Bus,Summer,8,50931,2600,715,50,8.0,4.3,26570,1
Sonamarg,Nature,Hyderabad,Jammu & Kashmir,North,Family,Train,Autumn,9,99624,6250,1625,0,13.0,4.6,70875,1
Faridabad,Nature,Jaipur,Haryana,North,Friends,Bike,Autumn,10,15146,3000,900,50,1.0,3.9,39050,0
Pench National Park,Wildlife,Chennai,Madhya Pradesh,Central,Solo,Flight,Monsoon,2,3234,3000,700,400,10.0,4.5,7800,0
Yanam,Heritage,Lucknow,Puducherry,South,Senior,Car,Spring,4,18224,1950,585,0,6.0,4.0,10140,1
Dibrugarh,Heritage,Kolkata,Assam,Northeast,Family,Bike,Summer,9,34969,3750,1125,0,17.0,4.0,43875,0
Kesaria,Heritage,Ahmedabad,Bihar,East,Friends,Flight,Monsoon,4,15563,2000,600,50,11.0,4.1,10450,1
Namchi,Spiritual,Kolkata,Sikkim,Northeast,Family,Bike,Winter,2,21606,4250,1250,50,12.0,4.3,11050,1
Betla National Park,Wildlife,Lucknow,Jharkhand,East,Couple,Train,Autumn,6,45478,2720,765,200,6.0,4.3,21110,1
Sasaram,Heritage,Pune,Bihar,East,Family,Bus,Monsoon,3,22407,2750,750,50,10.0,4.0,10550,1
Ziro Valley,Nature,Delhi,Arunachal Pradesh,Northeast,Friends,Bus,Autumn,9,30339,3000,900,0,22.0,4.5,35100,0
